name,score
 D575-0051,-9.6
 L249-1646,-9.5
 L678-0358,-9.5
 F305-1645,-9.4
 L249-1571,-9.4
 P321-0223,-9.4
 E856-3173,-9.3
 L249-1154,-9.3
 E856-2981,-9.2
 F726-0668,-9.2
 F828-1322,-9.2
 G907-0659,-9.2
 L249-1009,-9.2
 L678-0418,-9.2
 P321-0165,-9.2
 E856-2974,-9.1
 E856-3149,-9.1
 E856-3194,-9.1
 F426-0510,-9.1
 F448-0056,-9.1
 F699-0257,-9.1
 G868-1167,-9.1
 G907-0448,-9.1
 L249-1189,-9.1
 L249-1758,-9.1
 L326-0081,-9.1
 L678-0207,-9.1
 L678-0212,-9.1
 E856-3080,-9
 E856-3114,-9
 E856-3235,-9
 E856-3237,-9
 F305-1628,-9
 F426-0283,-9
 F681-0056,-9
 F699-0061,-9
 G791-1503,-9
 G907-0740,-9
 L249-1114,-9
 L249-1140,-9
 L249-1171,-9
 L249-1679,-9
 L249-1692,-9
 L325-0684,-9
 L326-0082,-9
 L326-0092,-9
 L711-0932,-9
 L865-0055,-9
 P271-0163,-9
 Z250-1288,-9
 E856-3230,-8.9
 F305-1639,-8.9
 F720-0848,-8.9
 F726-0401,-8.9
 G639-2048,-8.9
 G868-1219,-8.9
 J097-0207,-8.9
 L249-1105,-8.9
 L249-1108,-8.9
 L249-1150,-8.9
 L249-1556,-8.9
 L325-0546,-8.9
 L678-0076,-8.9
 L678-0136,-8.9
 L678-0375,-8.9
 Z250-1297,-8.9
 E856-3162,-8.8
 E856-3171,-8.8
 E856-3177,-8.8
 E856-3188,-8.8
 E856-3218,-8.8
 F305-1560,-8.8
 F305-1579,-8.8
 F426-0291,-8.8
 F448-1020,-8.8
 F633-0246,-8.8
 F633-1032,-8.8
 F681-0034,-8.8
 F720-0661,-8.8
 F720-0928,-8.8
 F726-1021,-8.8
 F726-1333,-8.8
 F817-1694,-8.8
 F828-1218,-8.8
 F899-1634,-8.8
 G639-1357,-8.8
 G639-2140,-8.8
 G639-2306,-8.8
 G907-0636,-8.8
 L249-1544,-8.8
 L249-1622,-8.8
 L249-1690,-8.8
 L251-1173,-8.8
 L251-1187,-8.8
 L325-0384,-8.8
 L326-0097,-8.8
 L566-0416,-8.8
 L678-0159,-8.8
 L678-0209,-8.8
 L678-0302,-8.8
 L703-0073,-8.8
 L707-0839,-8.8
 L865-0135,-8.8
 L948-0687,-8.8
 Z250-1370,-8.8
 Z250-2581,-8.8
 C201-0783,-8.7
 D305-0473,-8.7
 D356-2724,-8.7
 E856-2927,-8.7
 E856-3003,-8.7
 E856-3039,-8.7
 E856-3042,-8.7
 E856-3133,-8.7
 E856-3181,-8.7
 E856-3186,-8.7
 E856-3190,-8.7
 E856-3204,-8.7
 E856-3226,-8.7
 F305-0440,-8.7
 F426-0329,-8.7
 F426-0342,-8.7
 F426-0354,-8.7
 F633-0157,-8.7
 F681-0118,-8.7
 F720-0719,-8.7
 F720-0905,-8.7
 F726-0348,-8.7
 F726-0394,-8.7
 F726-0409,-8.7
 F726-0991,-8.7
 F828-1292,-8.7
 F899-1915,-8.7
 G430-2793,-8.7
 G430-2877,-8.7
 G430-2913,-8.7
 G639-1327,-8.7
 G639-2038,-8.7
 G639-2047,-8.7
 G791-0923,-8.7
 G792-1917,-8.7
 G907-0083,-8.7
 G907-0575,-8.7
 J097-0213,-8.7
 L249-0991,-8.7
 L249-1124,-8.7
 L249-1125,-8.7
 L249-1152,-8.7
 L249-1167,-8.7
 L249-1590,-8.7
 L249-1605,-8.7
 L249-1619,-8.7
 L249-1625,-8.7
 L249-1649,-8.7
 L249-1682,-8.7
 L251-0041,-8.7
 L325-0336,-8.7
 L325-0534,-8.7
 L326-0681,-8.7
 L413-0118,-8.7
 L413-0243,-8.7
 L413-0246,-8.7
 L413-0312,-8.7
 L413-0428,-8.7
 L426-2857,-8.7
 L678-0103,-8.7
 L678-0134,-8.7
 L678-0359,-8.7
 L678-0377,-8.7
 L678-0403,-8.7
 L707-0872,-8.7
 L711-0413,-8.7
 L740-0323,-8.7
 L900-0168,-8.7
 M136-0033,-8.7
 M136-0207,-8.7
 M513-2308,-8.7
 P271-0386,-8.7
 Z250-1293,-8.7
 Z250-1939,-8.7
 D576-0220,-8.6
 E856-2983,-8.6
 E856-2991,-8.6
 E856-3059,-8.6
 E856-3071,-8.6
 E856-3087,-8.6
 E856-3124,-8.6
 E856-3161,-8.6
 E856-3167,-8.6
 E856-3227,-8.6
 E856-3234,-8.6
 F426-0243,-8.6
 F426-0334,-8.6
 F448-0006,-8.6
 F448-0361,-8.6
 F580-1282,-8.6
 F633-0069,-8.6
 F633-0441,-8.6
 F633-0819,-8.6
 F681-0016,-8.6
 F681-0171,-8.6
 F681-0535,-8.6
 F681-0573,-8.6
 F699-0806,-8.6
 F699-0873,-8.6
 F710-0295,-8.6
 F720-0589,-8.6
 F720-0712,-8.6
 F720-0854,-8.6
 F720-0873,-8.6
 F726-0407,-8.6
 F726-0973,-8.6
 F726-1348,-8.6
 F828-1263,-8.6
 F828-1264,-8.6
 F894-1834,-8.6
 G373-4054,-8.6
 G430-2613,-8.6
 G430-2809,-8.6
 G430-2881,-8.6
 G430-2894,-8.6
 G430-2907,-8.6
 G430-3132,-8.6
 G639-1262,-8.6
 G639-1263,-8.6
 G639-1520,-8.6
 G781-1599,-8.6
 G792-1977,-8.6
 G868-1115,-8.6
 G907-0296,-8.6
 G907-0339,-8.6
 G907-0403,-8.6
 G907-0676,-8.6
 G907-0817,-8.6
 L075-1236,-8.6
 L249-1013,-8.6
 L249-1543,-8.6
 L249-1614,-8.6
 L249-1639,-8.6
 L249-1673,-8.6
 L251-0074,-8.6
 L251-1158,-8.6
 L325-0387,-8.6
 L325-0396,-8.6
 L325-0398,-8.6
 L325-0480,-8.6
 L325-0543,-8.6
