Time,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib,,,,,,,,,,,,,
0,0.0005084,0.0004988,0.0004946,0.0004969,0.0005011,0.0005003,0.0005065,0.0004952,0.0005015,0.0005153,0.0004999,0.0005026,,,,,,,,,,,,,
0.01,0.0799576,0.0824934,0.0721335,0.0636471,0.068566,0.0662795,0.0732893,0.066116,0.0779776,0.0659043,0.071847,0.0657182,,,,,,,,,,,,,
0.02,0.0835546,0.0727223,0.0685672,0.0759948,0.0751161,0.0865636,0.0703203,0.0731605,0.0724687,0.0696958,0.0707703,0.0737037,,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib
0.03,0.0912738,0.0764815,0.0675034,0.077495,0.0804963,0.089619,0.0843663,0.0874246,0.0739946,0.0725624,0.0788362,0.0893763,,CS-E,Nilotinib,Irinotecan,Diosmin,Conivaptan,Olmutinib,Glisolamide,FAD,ZINC003821234,Novobiocin,Voacamine,Cabozatinib
0.04,0.0897387,0.0773703,0.0727535,0.0950154,0.0784651,0.1047851,0.0813873,0.0741843,0.073427,0.072772,0.087882,0.0835342,,,,,,,,,,,,,
0.05,0.0878495,0.080141,0.0784875,0.0901198,0.0751809,0.1115957,0.0839315,0.0836492,0.0682716,0.0712244,0.0837844,0.0763173,,,,,,,,,,,,,
0.06,0.0889708,0.0835354,0.081416,0.1023402,0.0761919,0.0927284,0.0830144,0.0717029,0.0773808,0.0762005,0.0857097,0.0741593,,,,,,,,,,,,,
0.07,0.097352,0.0869814,0.0818631,0.0886707,0.0753581,0.0929292,0.0794917,0.0803213,0.0886982,0.0699518,0.0841373,0.0906902,,,,,,,,,,,,,
0.08,0.0940989,0.0874512,0.0873753,0.083393,0.0940518,0.0956703,0.0912991,0.0767716,0.0813237,0.0734741,0.0869811,0.0896992,,,,,,,,,,,,,
0.09,0.092671,0.0883443,0.0913361,0.1025196,0.0940501,0.1005313,0.0840573,0.0974433,0.0894762,0.0877049,0.0730719,0.0913627,,,,,,,,,,,,,
0.1,0.0869871,0.0805871,0.0911387,0.0882322,0.0816161,0.0914467,0.0886825,0.0899155,0.0951642,0.0857153,0.0807257,0.0885968,,,,,,,,,,,,,
0.11,0.0860615,0.0833371,0.0880745,0.089461,0.0894888,0.1018185,0.0807912,0.0937461,0.0904411,0.0782972,0.0919805,0.0947422,,,,,,,,,,,,,
